timestamp_computer,timestamp_us,rp_ohms,inductance_uH,crack_detected,crack_size_thou,calibrated,serial_out,response
1782410799.284,139388450,2242.314453125,6.201777458190918,0,0.0,0,delay 1,
1782410799.440,139570795,2242.352783203125,6.206671714782715,0,0.0,0,,
1782410799.480,139727208,2243.31201171875,6.201777458190918,0,0.0,0,,
1782410799.705,139767457,2241.77734375,6.201777458190918,0,0.0,0,,
1782410799.723,139990475,2240.551025390625,6.201777458190918,0,0.0,0,,
1782418563.959,208905359,2061.5947265625,5.797580718994141,0,0.0,0,,
1782418563.959,208930250,2060.65478515625,5.797580718994141,0,0.0,0,,
1782418563.998,208955349,2059.586181640625,5.802312850952148,0,0.0,0,,
1782418563.998,208980244,2060.751953125,5.797580718994141,0,0.0,0,,
1782418564.067,209005354,2060.201171875,5.797580718994141,0,0.0,0,,
1782418564.067,209030244,2061.2705078125,5.797580718994141,0,0.0,0,,
1782418564.067,209055248,2061.075927734375,5.802312850952148,0,0.0,0,,
1782418564.127,209080353,2060.3955078125,5.802312850952148,0,0.0,0,,
1782418564.127,209105250,2060.719482421875,5.802312850952148,0,0.0,0,,
1782418564.146,209130354,2059.812744140625,5.802312850952148,0,0.0,0,,
1782418564.211,209155352,2060.52490234375,5.797580718994141,0,0.0,0,,
1782418564.212,209180250,2058.583251953125,5.802312850952148,0,0.0,0,,
1782418564.257,209205243,2060.751953125,5.802312850952148,0,0.0,0,,
1782418564.257,209230354,2061.886474609375,5.802312850952148,0,0.0,0,,
1782418564.293,209255352,2060.168701171875,5.797580718994141,0,0.0,0,,
1782418564.293,209280244,2060.168701171875,5.802312850952148,0,0.0,0,,
1782418564.352,209305361,2060.0068359375,5.802312850952148,0,0.0,0,,
1782418564.352,209330250,2059.974609375,5.802312850952148,0,0.0,0,,
1782418564.405,209355349,2059.90966796875,5.802312850952148,0,0.0,0,,
1782418564.405,209380244,2059.974609375,5.802312850952148,0,0.0,0,,
1782418564.424,209405354,2062.470458984375,5.802312850952148,0,0.0,0,,
1782418564.482,209430352,2061.20556640625,5.802312850952148,0,0.0,0,,
1782418564.482,209455244,2061.4326171875,5.797580718994141,0,0.0,0,,
1782418564.515,209480357,2061.04345703125,5.802312850952148,0,0.0,0,,
1782418564.515,209505244,2059.87744140625,5.802312850952148,0,0.0,0,,
1782418564.552,209530352,2061.01123046875,5.797580718994141,0,0.0,0,,
1782418564.603,209555359,2061.140625,5.802312850952148,0,0.0,0,,
1782418564.603,209580250,2061.302734375,5.802312850952148,0,0.0,0,,
